query,location,openings_count
front end developer,80521,1
software engineer,80521,27
cloud,80521,8
big data,80521,5
system administrator,80521,2
business intelligence,80521,9
mobile developer,80521,1
front end developer,80301,23
software engineer,80301,442
cloud,80301,133
big data,80301,8
system administrator,80301,44
business intelligence,80301,22
mobile developer,80301,6
front end developer,80202,26
software engineer,80202,675
cloud,80202,172
big data,80202,9
system administrator,80202,103
business intelligence,80202,28
mobile developer,80202,11
front end developer,80901,2
software engineer,80901,173
cloud,80901,25
big data,80901,6
system administrator,80901,126
business intelligence,80901,1
mobile developer,80901,2
