query,location,openings_count,batch_ts
front end developer,80521,1,04/20/20 03:55 PM
software engineer,80521,32,04/20/20 03:55 PM
cloud,80521,9,04/20/20 03:55 PM
big data,80521,5,04/20/20 03:55 PM
system administrator,80521,2,04/20/20 03:55 PM
business intelligence,80521,9,04/20/20 03:55 PM
mobile developer,80521,1,04/20/20 03:55 PM
front end developer,80301,23,04/20/20 03:55 PM
software engineer,80301,439,04/20/20 03:55 PM
cloud,80301,128,04/20/20 03:55 PM
big data,80301,8,04/20/20 03:55 PM
system administrator,80301,45,04/20/20 03:55 PM
business intelligence,80301,22,04/20/20 03:55 PM
mobile developer,80301,6,04/20/20 03:55 PM
front end developer,80202,26,04/20/20 03:55 PM
software engineer,80202,666,04/20/20 03:55 PM
cloud,80202,169,04/20/20 03:55 PM
big data,80202,10,04/20/20 03:55 PM
system administrator,80202,104,04/20/20 03:55 PM
business intelligence,80202,28,04/20/20 03:55 PM
mobile developer,80202,11,04/20/20 03:55 PM
front end developer,80901,2,04/20/20 03:55 PM
software engineer,80901,175,04/20/20 03:55 PM
cloud,80901,24,04/20/20 03:55 PM
big data,80901,5,04/20/20 03:55 PM
system administrator,80901,124,04/20/20 03:55 PM
business intelligence,80901,1,04/20/20 03:55 PM
mobile developer,80901,2,04/20/20 03:55 PM
